RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,130.5,78.9,87.7,18.5,19.0,19.0,18.5,19.0,56.5,11,NULL,0.43,-4.6,130.8,1,132.5,82.5,87.7,18.5,18.5,19.5,18.5,18.5,55.5,10,7.2,0.35,-3.8,141.4,1,272.2,993.6,1
2,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,130.0,78.0,87.6,18.5,18.5,18.5,18.5,18.5,55.5,11,NULL,0.53,-5.7,127.8,2,133.5,84.3,87.2,18.5,18.5,19.0,18.5,18.5,55.5,10,7.2,0.76,-8.2,138.8,2,266.6,973.2,3
3,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,125.0,69.0,87.4,18.5,18.0,18.5,18.0,18.5,55.0,11,NULL,-0.03,0.5,124.5,3,133.5,84.3,87.3,19.0,19.0,19.0,19.0,19.0,57.0,11,3.6,1.06,-11.4,133.5,3,258.0,992.4,2
4,Fettner Manuel,AUT,17 JUN 1985,SV Innsbruck-Bergisel-Tirol,123.0,65.4,87.9,17.5,18.0,17.5,17.5,18.0,53.0,11,NULL,-0.03,0.5,118.9,8,129.0,76.2,87.9,18.0,18.0,18.5,18.0,18.0,54.0,11,3.6,0.03,-0.3,133.5,3,252.4,992.4,2
5,Zyla Piotr,POL,16 JAN 1987,WSS Wisla,129.0,76.2,87.9,18.5,18.0,18.0,18.5,18.0,54.5,11,NULL,0.85,-9.2,121.5,4,127.0,72.6,88.0,18.0,18.0,18.0,18.0,18.0,54.0,11,3.6,0.16,-1.7,128.5,7,250.0,993.6,1
6,Tschofenig Daniel,AUT,28 MAR 2002,SV Achomitz-Zahomc,122.0,63.6,87.5,18.0,17.5,17.5,17.5,18.0,53.0,11,NULL,-0.15,2.4,119.0,7,121.5,62.7,87.6,17.5,18.0,17.5,17.5,18.0,53.0,11,3.6,-0.24,3.9,123.2,10,242.2,992.4,2
7,Kobayashi Ryoyu,JPN,8 NOV 1996,Tsuchiya Home Ski Team,119.0,58.2,87.5,17.5,18.0,17.5,17.5,18.0,53.0,11,NULL,0.17,-1.8,109.4,22,128.5,75.3,88.1,18.5,18.5,18.5,18.0,18.5,55.5,12,NULL,-0.02,0.3,131.1,5,240.5,891.7,5
8,Aschenwald Philipp,AUT,12 NOV 1995,SC Mayerhofen-Tirol,123.5,66.3,87.5,17.5,17.5,18.0,18.0,17.5,53.0,11,NULL,0.45,-4.9,114.4,18,127.5,73.5,88.1,18.0,18.0,18.0,18.0,17.5,54.0,12,NULL,0.19,-2.1,125.4,8,239.8,992.4,2
9,Forfang Johann Andre,NOR,4 JUL 1995,Tromsoe Skiklub,126.0,70.8,87.6,18.0,18.0,18.0,18.5,18.0,54.0,11,NULL,0.81,-8.7,116.1,14,122.0,63.6,88.2,17.5,18.0,17.5,17.5,18.0,53.0,12,NULL,-0.37,6.0,122.6,11,238.7,973.2,3
10,Stoch Kamil,POL,25 MAY 1987,KS Eve-nement Zakopane,127.5,73.5,87.3,16.5,16.0,15.5,16.5,16.0,48.5,11,NULL,0.53,-5.7,116.3,13,116.0,52.8,88.1,17.5,17.5,17.0,17.5,17.5,52.5,12,NULL,-0.95,15.4,120.7,13,237.0,993.6,1
11,Johansson Robert,NOR,23 MAR 1990,Soere Aal IL,116.5,53.7,87.7,17.0,17.5,17.5,17.0,17.5,52.0,11,NULL,-0.16,2.6,108.3,26,131.5,80.7,88.7,18.5,18.5,18.5,18.5,18.5,55.5,12,NULL,0.70,-7.6,128.6,6,236.9,973.2,3
12,Paschke Pius,GER,20 MAY 1990,WSV Kiefersfelden,122.5,64.5,87.7,17.5,18.0,17.5,18.0,17.5,53.0,11,NULL,0.04,-0.4,117.1,11,122.0,63.6,87.8,17.5,17.5,17.5,17.5,18.0,52.5,12,NULL,-0.21,3.4,119.5,14,236.6,927.3,4
13,Eisenbichler Markus,GER,3 APR 1991,TSV Siegsdorf,123.5,66.3,87.3,18.0,18.0,18.0,17.5,18.5,54.0,11,NULL,0.53,-5.7,114.6,17,127.5,73.5,88.3,18.0,18.0,18.0,18.5,18.0,54.0,12,NULL,0.53,-5.7,121.8,12,236.4,927.3,4
