RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,149.0,112.2,86.2,19.0,19.0,19.5,19.0,19.5,57.5,11,NULL,0.97,-11.3,158.4,1,141.5,98.7,85.8,19.0,19.0,19.5,19.0,19.5,57.5,10,5.2,0.60,-7.0,154.4,2,312.8,1127.3,3
2,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,141.5,98.7,85.9,18.5,18.5,18.5,18.5,19.0,55.5,10,5.2,0.53,-6.2,153.2,2,144.0,103.2,85.8,19.0,19.0,18.5,18.5,19.0,56.5,10,5.2,0.56,-6.6,158.3,1,311.5,1173.4,1
3,Zyla Piotr,POL,16 JAN 1987,WSS Wisla,143.0,101.4,86.5,18.5,18.0,18.5,18.0,19.0,55.0,11,NULL,0.49,-5.7,150.7,4,142.0,99.6,86.0,18.0,18.5,18.5,18.0,18.5,55.0,10,5.2,0.84,-9.8,150.0,4,300.7,1114.6,4
4,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,139.5,95.1,86.0,18.5,19.0,18.5,18.5,18.0,55.5,10,5.2,0.72,-8.4,147.4,6,139.5,95.1,86.0,19.0,19.0,19.0,18.5,18.5,56.5,10,5.2,0.66,-7.7,149.1,5,296.5,1114.6,4
5,Fettner Manuel,AUT,17 JUN 1985,SV Innsbruck-Bergisel-Tirol,142.5,100.5,86.2,18.5,19.0,18.5,18.5,19.0,56.0,11,NULL,0.68,-8.0,148.5,5,138.5,93.3,85.7,18.5,18.0,17.5,18.5,18.5,55.0,10,5.2,0.64,-7.5,146.0,9,294.5,1173.4,1
6,Geiger Karl,GER,11 FEB 1993,SC 1906 Oberstdorf,139.5,95.1,86.9,18.0,19.0,19.0,18.5,18.5,56.0,11,NULL,0.79,-9.2,141.9,9,139.5,95.1,86.3,18.0,19.5,18.5,18.5,18.5,55.5,10,5.2,0.77,-9.0,146.8,7,288.7,1097.2,5
7,Lindvik Marius,NOR,27 JUN 1998,Raelingen Skiklubb,138.5,93.3,85.6,18.0,18.0,18.0,18.5,18.5,54.5,11,NULL,0.63,-7.4,140.4,13,137.0,90.6,85.4,18.0,18.5,19.0,18.5,18.0,55.0,10/11,5.2,0.38,-4.4,146.4,8,286.8,1165.0,2
7,Tande Daniel Andre,NOR,24 JAN 1994,Kongsberg If,139.5,95.1,86.0,18.5,18.5,19.0,18.5,19.0,56.0,11,NULL,0.79,-9.2,141.9,9,135.5,87.9,85.6,18.5,18.5,18.5,18.0,18.0,55.0,10,5.2,0.27,-3.2,144.9,11,286.8,1165.0,2
9,Hayboeck Michael,AUT,5 MAR 1991,UVB Hinzenbach-Oberoesterreich,139.0,94.2,86.4,18.0,18.0,18.0,17.5,18.5,54.0,11,NULL,0.59,-6.9,141.3,12,140.0,96.0,86.4,18.0,18.0,17.5,18.0,18.0,54.0,11,NULL,0.39,-4.6,145.4,10,286.7,1173.4,1
10,Forfang Johann Andre,NOR,4 JUL 1995,Tromsoe Skiklub,137.0,90.6,86.3,18.0,17.5,18.0,18.0,17.5,53.5,11,NULL,0.56,-6.6,137.5,16,141.0,97.8,86.3,19.0,19.0,19.0,18.5,18.5,56.5,11,NULL,0.55,-6.4,147.9,6,285.4,1165.0,2
