RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,133.5,75.3,89.3,19.0,18.5,19.0,19.0,19.0,57.0,07,-7.4,-0.23,3.7,128.6,2,141.0,88.8,90.3,19.0,18.5,19.0,18.5,18.5,56.0,09,NULL,0.06,-0.6,144.2,2,272.8,954.3,5
2,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,130.5,69.9,89.5,18.5,18.0,18.5,18.0,18.5,55.0,07,-7.4,-0.26,4.2,121.7,5,144.0,94.2,90.5,19.0,19.0,19.0,19.5,19.5,57.5,09,NULL,0.18,-1.9,149.8,1,271.5,975.0,4
3,Geiger Karl,GER,11 FEB 1993,SC 1906 Oberstdorf,135.0,78.0,89.1,18.5,19.0,18.5,19.0,19.0,56.5,05,NULL,0.82,-8.9,125.6,4,141.5,89.7,90.6,18.5,18.5,18.5,18.5,18.5,55.5,09,NULL,0.15,-1.6,143.6,3,269.2,984.0,1
4,Hayboeck Michael,AUT,5 MAR 1991,UVB Hinzenbach-Oberoesterreich,135.0,78.0,89.0,19.0,18.5,19.0,18.5,18.5,56.0,05,NULL,0.66,-7.1,126.9,3,138.5,84.3,90.3,18.5,18.0,19.0,18.5,19.0,56.0,09,NULL,0.17,-1.8,138.5,4,265.4,982.7,2
5,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,136.5,80.7,89.4,18.5,18.5,18.5,18.5,18.5,55.5,07,-7.4,-0.08,1.3,130.1,1,135.0,78.0,90.3,18.5,18.0,18.5,18.0,18.0,54.5,09,NULL,0.04,-0.4,132.1,6,262.2,977.0,3
6,Zyla Piotr,POL,16 JAN 1987,WSS Wisla,132.0,72.6,89.4,18.5,18.0,18.5,18.5,18.0,55.0,07,-7.4,0.09,-1.0,119.2,9,136.0,79.8,90.5,18.5,18.0,18.5,18.5,18.0,55.0,09,NULL,-0.07,1.1,135.9,5,255.1,975.0,4
7,Schmid Constantin,GER,27 NOV 1999,Wsv Oberaudorf,132.5,73.5,89.1,18.5,19.0,18.5,18.5,18.0,55.5,05,NULL,0.74,-8.0,121.0,6,134.0,76.2,90.5,18.5,18.5,18.5,18.0,18.5,55.5,09,NULL,0.14,-1.5,130.2,8,251.2,984.0,1
8,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,131.0,70.8,89.4,18.5,18.0,19.0,18.5,18.5,55.5,07,-7.4,-0.05,0.8,119.7,8,133.0,74.4,90.2,18.5,18.0,18.5,18.0,18.0,54.5,09,NULL,0.03,-0.3,128.6,10,248.3,982.7,2
9,Fettner Manuel,AUT,17 JUN 1985,SV Innsbruck-Bergisel-Tirol,129.5,68.1,89.5,18.0,18.0,18.0,17.5,17.5,53.5,07,-7.4,0.12,-1.3,112.9,17,134.5,77.1,90.2,18.5,18.5,18.5,18.5,18.5,55.5,09,NULL,0.13,-1.4,131.2,7,244.1,982.7,2
10,Kobayashi Ryoyu,JPN,8 NOV 1996,Tsuchiya Home Ski Team,132.0,72.6,88.7,18.0,18.0,18.0,18.0,18.5,54.0,05,NULL,0.76,-8.2,118.4,10,131.0,70.8,90.2,18.0,18.0,18.0,18.0,18.0,54.0,09,NULL,0.00,0.0,124.8,13,243.2,836.8,6
11,Heggli Bendik Jakobsen,NOR,14 OCT 2001,Byaasen IL,136.0,79.8,88.3,18.0,17.5,18.5,18.0,17.5,53.5,05,NULL,1.20,-13.0,120.3,7,130.0,69.0,89.8,18.0,17.5,18.0,18.0,17.5,53.5,09,NULL,0.06,-0.6,121.9,16,242.2,977.0,3
12,Zajc Timi,SLO,26 APR 2000,SSK Ljubno BTC,130.5,69.9,88.4,18.0,17.5,18.0,17.5,18.0,53.5,05,NULL,0.77,-8.3,115.1,15,130.0,69.0,90.0,18.0,17.5,18.0,18.0,17.5,53.5,09,NULL,-0.17,2.8,125.3,12,240.4,954.3,5
13,Johansson Robert,NOR,23 MAR 1990,Soere Aal IL,127.5,64.5,89.7,18.5,17.5,18.0,18.0,18.0,54.0,07,-7.4,0.06,-0.6,110.5,18,133.0,74.4,90.4,18.5,18.5,18.5,18.0,18.5,55.5,09,NULL,0.11,-1.2,128.7,9,239.2,977.0,3
