RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,139.5,86.1,90.0,19.5,19.0,19.5,19.5,19.5,58.5,13,15.4,-0.23,3.6,163.6,2,142.0,90.6,90.6,20.0,19.5,20.0,19.5,19.5,59.0,14,5.1,-0.13,2.0,156.7,1,320.3,1160.8,2
2,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,139.0,85.2,90.4,19.5,19.0,19.5,19.5,19.5,58.5,13,15.4,-0.32,5.0,164.1,1,140.0,87.0,90.9,19.5,19.0,19.5,19.0,19.5,58.0,14,5.1,-0.18,2.8,152.9,4,317.0,1187.3,1
3,Zyla Piotr,POL,16 JAN 1987,WSS Wisla,141.0,88.8,90.6,19.0,18.0,19.0,18.5,18.5,56.0,14,10.3,-0.05,0.8,155.9,3,139.0,85.2,90.7,19.0,19.0,19.0,19.0,19.0,57.0,14,5.1,-0.58,9.1,156.4,2,312.3,1187.3,1
4,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,136.5,80.7,90.1,19.5,19.0,19.0,19.0,19.0,57.0,13,15.4,-0.02,0.3,153.4,4,138.0,83.4,90.5,19.5,19.5,19.0,19.5,19.5,58.5,14,5.1,-0.45,7.0,154.0,3,307.4,1151.3,3
5,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,134.5,77.1,89.9,18.5,18.0,18.5,18.0,18.5,55.0,13,15.4,-0.06,0.9,148.4,6,141.0,88.8,90.6,18.5,19.0,18.5,18.0,18.5,55.5,14,5.1,-0.18,2.8,152.2,5,300.6,1106.7,5
6,Wellinger Andreas,GER,28 AUG 1995,Sc Ruhpolding,137.0,81.6,91.5,18.0,18.5,18.0,18.0,18.5,54.5,15,5.1,-0.22,3.4,144.6,11,139.0,85.2,91.4,19.0,19.0,19.0,19.0,19.0,57.0,15,NULL,-0.53,8.3,150.5,6,295.1,1118.6,4
7,Hoerl Jan,AUT,16 OCT 1998,SC Bischofshofen,141.0,88.8,91.1,18.5,18.5,19.0,18.5,19.0,56.0,15,5.1,0.00,0.0,149.9,5,134.0,76.2,90.3,19.0,19.0,18.5,18.5,18.5,56.0,14,5.1,-0.44,6.9,144.2,8,294.1,1151.3,3
8,Stoch Kamil,POL,25 MAY 1987,KS Eve-nement Zakopane,130.0,69.0,90.1,18.0,18.5,18.0,18.5,18.5,55.0,14,10.3,-0.75,11.7,146.0,8,135.5,78.9,90.1,18.5,18.5,18.5,18.0,18.0,55.0,14,5.1,-0.18,2.8,141.8,10,287.8,1187.3,1
9,Zajc Timi,SLO,26 APR 2000,SSK Ljubno BTC,131.5,71.7,90.4,17.5,18.0,18.0,18.0,19.0,54.0,14,10.3,-0.56,8.8,144.8,10,133.5,75.3,90.4,18.5,18.5,18.5,18.5,18.5,55.5,14,5.1,-0.39,6.1,142.0,9,286.8,1160.8,2
10,Kobayashi Ryoyu,JPN,8 NOV 1996,Tsuchiya Home Ski Team,134.5,77.1,90.7,18.5,18.0,18.5,18.0,18.0,54.5,14,10.3,-0.27,4.2,146.1,7,134.5,77.1,90.6,18.5,18.0,18.5,18.0,18.0,54.5,14,5.1,-0.12,1.9,138.6,12,284.7,1049.5,6
