RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,142.5,100.5,90.7,17.0,16.5,16.5,16.5,16.5,49.5,15/16,-3.8,-0.33,5.3,151.5,1,139.0,94.2,90.2,19.5,19.5,19.5,20.0,19.0,58.5,14,3.8,-0.27,4.4,160.9,1,312.4,1063.8,4
2,Zyla Piotr,POL,16 JAN 1987,WSS Wisla,132.5,82.5,91.6,18.0,18.0,18.5,18.0,18.5,54.5,16,-7.6,-1.08,17.5,146.9,2,137.0,90.6,91.0,19.0,19.0,18.5,19.0,18.5,56.5,15,NULL,-0.31,5.0,152.1,3,299.0,1115.2,1
3,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,140.5,96.9,91.4,18.0,17.0,18.0,17.0,19.0,53.0,16,-7.6,-0.22,3.6,145.9,3,136.0,88.8,90.9,18.5,19.0,19.0,18.0,19.0,56.5,15,NULL,-0.23,3.7,149.0,5,294.9,1115.2,1
4,Geiger Karl,GER,11 FEB 1993,SC 1906 Oberstdorf,136.5,89.7,91.7,19.0,19.0,19.0,19.0,19.5,57.0,16,-7.6,-0.18,2.9,142.0,5,134.0,85.2,91.1,18.5,18.5,19.0,18.5,19.0,56.0,15,NULL,-0.64,10.4,151.6,4,293.6,1079.9,3
5,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,133.5,84.3,91.4,18.5,18.5,18.5,18.5,18.5,55.5,16,-7.6,-0.43,7.0,139.2,7,138.0,92.4,91.3,19.0,19.0,19.0,19.0,18.5,57.0,15,NULL,-0.21,3.4,152.8,2,292.0,1093.2,2
6,Wellinger Andreas,GER,28 AUG 1995,Sc Ruhpolding,135.0,87.0,92.0,18.5,18.5,19.0,19.0,19.0,56.5,16,-7.6,-0.53,8.6,144.5,4,132.0,81.6,91.2,18.5,18.5,18.5,18.5,18.5,55.5,15,NULL,-0.22,3.6,140.7,10,285.2,1079.9,3
7,Kos Lovro,SLO,23 JUL 1999,SSK Ilirija,125.5,69.9,90.4,18.0,17.5,17.5,18.0,17.5,53.0,14,NULL,-0.69,11.2,134.1,8,133.5,84.3,90.7,18.0,18.0,18.0,17.0,18.0,54.0,15,NULL,-0.51,8.3,146.6,6,280.7,1039.4,5
8,Tschofenig Daniel,AUT,28 MAR 2002,SV Achomitz-Zahomc,122.5,64.5,90.3,17.5,17.5,17.5,17.5,17.5,52.5,14,NULL,-1.02,16.5,133.5,9,132.5,82.5,90.9,18.5,18.5,18.5,19.0,18.5,55.5,15,NULL,-0.45,7.3,145.3,7,278.8,1093.2,2
9,Stoch Kamil,POL,25 MAY 1987,KS Eve-nement Zakopane,133.0,83.4,91.1,18.5,18.5,18.5,18.5,19.0,55.5,16,-7.6,-0.52,8.4,139.7,6,130.0,78.0,90.5,18.0,18.0,18.5,18.0,18.0,54.0,15,NULL,-0.27,4.4,136.4,11,276.1,1115.2,1
10,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,119.5,59.1,90.6,17.0,17.0,17.5,17.5,17.5,52.0,14,NULL,-0.87,14.1,125.2,13,129.0,76.2,91.0,18.0,18.0,18.5,18.0,18.0,54.0,15,NULL,-0.74,12.0,142.2,9,267.4,1039.4,5
11,Forfang Johann Andre,NOR,4 JUL 1995,Tromsoe Skiklub,122.0,63.6,91.2,17.0,17.0,17.0,17.0,16.5,51.0,16,-7.6,-0.89,14.4,121.4,21,131.0,79.8,90.6,18.5,18.5,18.0,18.5,18.5,55.5,15,NULL,-0.50,8.1,143.4,8,264.8,1063.8,4
12,Hayboeck Michael,AUT,5 MAR 1991,UVB Hinzenbach-Oberoesterreich,121.5,62.7,91.0,17.0,17.5,17.5,17.5,17.0,52.0,14,NULL,-1.02,16.5,131.2,11,124.0,67.2,91.3,17.5,17.5,17.5,17.5,17.5,52.5,15,NULL,-0.69,11.2,130.9,14,262.1,1093.2,2
13,Fettner Manuel,AUT,17 JUN 1985,SV Innsbruck-Bergisel-Tirol,119.0,58.2,91.1,17.0,17.5,17.5,17.5,17.0,52.0,16,-7.6,-1.32,21.4,124.0,15,127.0,72.6,90.8,17.5,17.5,17.5,18.0,17.5,52.5,15,NULL,-0.69,11.2,136.3,12,260.3,1093.2,2
14,Raimund Philipp,GER,23 JUN 2000,Sc Oberstdorf,118.5,57.3,90.9,17.0,17.0,17.0,17.0,17.0,51.0,14,NULL,-0.96,15.6,123.9,16,124.0,67.2,91.0,17.5,17.5,17.5,17.5,17.5,52.5,15,NULL,-0.83,13.4,133.1,13,257.0,1079.9,3
15,Kobayashi Ryoyu,JPN,8 NOV 1996,Tsuchiya Home Ski Team,124.5,68.1,90.6,17.5,17.5,17.5,18.0,17.5,52.5,14,NULL,-0.73,11.8,132.4,10,120.5,60.9,90.9,17.0,17.0,17.0,17.0,17.0,51.0,15,NULL,-0.76,12.3,124.2,18,256.6,832.6,6
16,Hoerl Jan,AUT,16 OCT 1998,SC Bischofshofen,120.5,60.9,90.4,17.0,17.5,16.5,17.0,17.0,51.0,14,NULL,-0.58,9.4,121.3,22,126.0,70.8,90.5,18.0,18.0,17.0,18.0,17.5,53.5,15,NULL,-0.37,6.0,130.3,15,251.6,1093.2,2
17,Lindvik Marius,NOR,27 JUN 1998,Raelingen Skiklubb,121.0,61.8,90.1,17.0,17.0,17.0,17.0,17.0,51.0,14,NULL,-0.70,11.3,124.1,14,122.0,63.6,90.4,17.0,17.0,17.0,17.5,17.0,51.0,15,NULL,-0.60,9.7,124.3,17,248.4,1063.8,4
18,Zajc Timi,SLO,26 APR 2000,SSK Ljubno BTC,122.5,64.5,91.4,17.0,17.0,17.0,17.0,17.0,51.0,16,-7.6,-0.62,10.0,117.9,25,121.0,61.8,90.8,17.0,17.0,17.0,17.5,17.0,51.0,15,NULL,-1.06,17.2,130.0,16,247.9,1039.4,5
19,Wasek Pawel,POL,2 JUN 1999,WSS Wisla,121.5,62.7,90.5,17.0,17.5,17.5,18.0,17.0,52.0,14,NULL,-0.55,8.9,123.6,18,118.5,57.3,90.8,17.0,17.0,17.0,17.0,16.5,51.0,15,NULL,-0.82,13.3,121.6,20,245.2,1115.2,1
20,Leyhe Stephan,GER,5 JAN 1992,SC Willingen,122.0,63.6,90.9,17.5,17.5,17.0,17.0,17.0,51.5,14,NULL,-0.53,8.6,123.7,17,116.5,53.7,91.1,16.5,17.0,17.0,16.5,17.0,50.5,15,NULL,-1.00,16.2,120.4,23,244.1,1079.9,3
21,Zografski Vladimir,BUL,14 JUL 1993,NSA,127.5,73.5,91.0,18.0,18.0,18.0,18.0,17.5,54.0,16,-7.6,-0.42,6.8,126.7,12,115.5,51.9,90.6,16.5,16.5,16.5,16.5,16.5,49.5,15,NULL,-0.96,15.6,117.0,26,243.7,243.7,11
22,Prevc Peter,SLO,20 SEP 1992,SK Triglav Kranj,119.0,58.2,90.7,17.0,17.0,17.5,17.0,17.5,51.5,14,NULL,-0.75,12.2,121.9,19,118.0,56.4,91.0,16.5,17.0,17.0,17.0,17.0,51.0,15,NULL,-0.87,14.1,121.5,21,243.4,1039.4,5
23,Aschenwald Philipp,AUT,12 NOV 1995,SC Mayerhofen-Tirol,119.5,59.1,90.6,17.0,17.0,17.5,17.0,17.0,51.0,14,NULL,-0.65,10.5,120.6,23,121.5,62.7,90.9,16.0,16.0,16.5,16.5,16.0,48.5,15,NULL,-0.68,11.0,122.2,19,242.8,1093.2,2
24,Sundal Kristoffer Eriksen,NOR,7 FEB 2001,IL Koll,119.0,58.2,90.2,17.0,17.0,17.5,17.0,17.5,51.5,14,NULL,-0.58,9.4,119.1,24,117.5,55.5,90.5,16.5,16.5,17.0,16.5,17.0,50.0,15,NULL,-0.84,13.6,119.1,24,238.2,1063.8,4
25,Johansson Robert,NOR,23 MAR 1990,Soere Aal IL,113.5,48.3,91.0,16.5,16.5,17.0,16.5,17.0,50.0,14,NULL,-1.01,16.4,114.7,28,119.0,58.2,91.2,17.0,17.0,17.0,16.5,17.0,51.0,15,NULL,-0.72,11.7,120.9,22,235.6,1063.8,4
26,Belshaw Erik,USA,23 AUG 2004,Steamboat Springs winter sports clu,124.5,68.1,90.9,17.5,18.0,17.0,18.0,18.0,53.5,16,-7.6,-0.49,7.9,121.9,19,113.5,48.3,90.5,16.5,16.5,16.5,17.0,16.5,49.5,15,NULL,-0.72,11.7,109.5,29,231.4,458.0,8
27,Tande Daniel Andre,NOR,24 JAN 1994,Kongsberg If,120.0,60.0,91.2,17.0,17.5,17.0,17.5,17.5,52.0,16,-7.6,-0.78,12.6,117.0,26,112.0,45.6,90.7,16.5,16.5,16.5,16.0,16.0,49.0,15,NULL,-1.18,19.1,113.7,28,230.7,1063.8,4
28,Jelar Ziga,SLO,22 OCT 1997,Sk Triglav kranj,114.0,49.2,90.7,16.5,16.5,16.5,16.5,16.5,49.5,14,NULL,-0.79,12.8,111.5,29,118.5,57.3,91.0,17.0,17.5,17.0,16.5,16.5,50.5,15,NULL,-0.48,7.8,115.6,27,227.1,1039.4,5
29,Schmid Constantin,GER,27 NOV 1999,Wsv Oberaudorf,111.5,44.7,90.5,16.5,16.5,16.5,16.0,16.5,49.5,14,NULL,-0.67,10.9,105.1,30,122.0,63.6,90.5,17.0,17.0,17.0,17.5,17.0,51.0,15,NULL,-0.28,4.5,119.1,24,224.2,1079.9,3
30,Ipcioglu Fatih Arda,TUR,28 SEP 1997,Tuerkiye Kayak Federasyonu,117.0,54.6,90.4,16.5,16.5,16.5,16.0,17.0,49.5,14,NULL,-0.70,11.3,115.4,27,104.5,32.1,90.4,15.0,15.5,16.0,15.5,15.5,46.5,15,NULL,-1.18,19.1,97.7,30,213.1,395.9,10
31,Dean Decker,USA,8 AUG 2000,Steamboat Springs winter sports clu,114.0,49.2,90.9,16.5,16.5,16.5,16.5,16.5,49.5,14,NULL,-0.90,14.6,113.3,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,113.3,458.0,8
32,Bresadola Giovanni,ITA,17 FEB 2001,C.S. ESERCITO,118.5,57.3,90.7,16.5,16.0,16.5,16.5,16.5,49.5,14,NULL,-0.37,6.0,112.8,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,112.8,625.4,7
33,Eisenbichler Markus,GER,3 APR 1991,TSV Siegsdorf,115.0,51.0,90.8,16.5,15.5,16.5,16.5,17.0,49.5,14,NULL,-0.73,11.8,112.3,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,112.3,1079.9,3
34,Palosaari Vilho,FIN,20 JUL 2004,Kuusamon Era-Veikot,113.5,48.3,90.5,16.0,16.5,16.5,16.0,16.5,49.0,14,NULL,-0.84,13.6,110.9,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110.9,434.2,9
35,Leitner Clemens,AUT,7 NOV 1998,Nordic Team Absam-Tirol,109.0,40.2,90.8,16.5,16.0,16.5,15.0,16.0,48.5,14,NULL,-1.16,18.8,107.5,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,107.5,1093.2,2
35,Cecon Francesco,ITA,13 NOV 2001,BACHMANN SPORT COLLEGE S.S.D. A R.L,112.5,46.5,90.4,16.5,16.0,16.5,16.0,16.5,49.0,14,NULL,-0.74,12.0,107.5,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,107.5,625.4,7
37,Deschwanden Gregor,SUI,27 FEB 1991,Horw,107.5,37.5,90.9,16.0,16.0,16.0,16.0,16.0,48.0,14,NULL,-1.29,20.9,106.4,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,106.4,212.8,12
38,Aalto Antti,FIN,2 APR 1995,Kiteen Urheilijat,112.5,46.5,90.9,16.5,16.5,16.5,16.5,16.5,49.5,14,NULL,-0.63,10.2,106.2,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,106.2,434.2,9
39,Prevc Domen,SLO,4 JUN 1999,Sk Triglav kranj,109.5,41.1,91.5,16.5,16.0,16.0,16.5,16.5,49.0,16,-7.6,-1.41,22.8,105.3,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,105.3,1039.4,5
40,Nakamura Naoki,JPN,19 SEP 1996,Flying Laboratory SC,116.0,52.8,90.6,16.5,16.5,17.0,17.0,17.0,50.5,16,-7.6,-0.56,9.1,104.8,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,104.8,832.6,6
41,Paschke Pius,GER,20 MAY 1990,WSV Kiefersfelden,110.0,42.0,89.9,16.5,16.5,16.0,16.0,16.5,49.0,14,NULL,-0.59,9.6,100.6,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100.6,1079.9,3
42,Aigro Artti,EST,29 AUG 1999,Pohjakotkas,108.0,38.4,90.3,15.5,16.0,16.0,16.0,16.0,48.0,14,NULL,-0.74,12.0,98.4,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,98.4,196.8,13
43,Fannemel Anders,NOR,13 MAY 1991,Hornindal Il,106.0,34.8,90.9,16.0,15.0,15.0,15.0,15.5,45.5,16,-7.6,-1.53,24.8,97.5,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97.5,1063.8,4
44,Koudelka Roman,CZE,9 JUL 1989,LSK Lomnice nad Popelkou - Dukla,109.5,41.1,91.1,16.0,16.5,16.5,16.5,16.5,49.5,16,-7.6,-0.86,13.9,96.9,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96.9,193.8,14
45,Sato Yukiya,JPN,19 JUN 1995,Megmilk Snow Brand Ski Team,105.0,33.0,90.1,15.5,15.5,15.5,15.5,15.5,46.5,14,NULL,-0.96,15.6,95.1,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95.1,832.6,6
46,Insam Alex,ITA,19 DEC 1997,GRUPPO SPORTIVO FIAMME ORO,102.5,28.5,90.4,16.0,16.0,16.0,15.5,16.0,48.0,14,NULL,-0.98,15.9,92.4,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92.4,625.4,7
47,Bedir Muhammed Ali,TUR,24 MAR 2000,Tuerkiye Kayak Federasyonu,108.5,39.3,91.7,16.0,16.0,16.0,16.0,16.0,48.0,16,-7.6,-0.72,11.7,91.4,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91.4,395.9,10
48,Hula Stefan,POL,29 SEP 1986,KS Eve-nement Zakopane,108.0,38.4,90.7,16.0,16.0,16.0,16.0,16.0,48.0,16,-7.6,-0.76,12.3,91.1,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91.1,1115.2,1
