RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,140.0,87.0,90.3,18.5,18.5,18.5,18.5,18.0,55.5,15,NULL,-0.38,6.0,148.5,1,142.0,90.6,89.8,19.0,19.0,19.0,19.0,19.0,57.0,13,7.7,0.01,-0.1,155.2,1,303.7,1033.7,5
2,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,140.5,87.9,90.3,19.0,19.0,19.0,19.0,18.5,57.0,15,NULL,-0.19,3.0,147.9,2,137.0,81.6,89.7,18.5,19.0,19.0,19.0,19.0,57.0,13,7.7,-0.20,3.1,149.4,3,297.3,1040.1,4
3,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,136.0,79.8,90.5,18.5,18.5,18.5,18.5,18.0,55.5,15,NULL,-0.41,6.4,141.7,3,138.5,84.3,90.0,18.5,18.5,18.5,19.0,18.5,55.5,13,7.7,-0.33,5.2,152.7,2,294.4,1086.1,2
4,Fettner Manuel,AUT,17 JUN 1985,SV Innsbruck-Bergisel-Tirol,136.0,79.8,89.9,18.0,18.0,18.0,18.5,18.0,54.0,15,NULL,-0.16,2.5,136.3,6,138.0,83.4,90.0,18.0,18.5,18.5,18.5,18.0,55.0,14,3.8,-0.07,1.1,143.3,6,279.6,1103.7,1
5,Hoerl Jan,AUT,16 OCT 1998,SC Bischofshofen,136.0,79.8,90.5,18.0,18.0,18.5,18.0,19.0,54.5,15,NULL,-0.09,1.4,135.7,7,138.5,84.3,90.0,18.5,18.5,18.5,19.0,18.5,55.5,14,3.8,0.04,-0.4,143.2,7,278.9,1103.7,1
6,Zyla Piotr,POL,16 JAN 1987,WSS Wisla,135.5,78.9,90.3,18.0,18.5,18.5,18.5,18.5,55.5,15,NULL,-0.41,6.4,140.8,4,134.5,77.1,90.1,17.5,17.0,17.5,17.5,17.5,52.5,14,3.8,-0.18,2.8,136.2,11,277.0,1086.1,2
7,Tschofenig Daniel,AUT,28 MAR 2002,SV Achomitz-Zahomc,131.0,70.8,90.0,17.5,17.5,17.5,17.5,18.0,52.5,15,NULL,-0.53,8.3,131.6,9,136.0,79.8,89.6,18.0,18.5,18.5,18.5,18.5,55.5,14,3.8,-0.30,4.7,143.8,5,275.4,1103.7,1
8,Wellinger Andreas,GER,28 AUG 1995,Sc Ruhpolding,137.0,81.6,90.5,18.5,18.5,18.5,19.0,19.0,56.0,15,NULL,0.09,-0.9,136.7,5,133.0,74.4,90.1,18.5,18.5,18.0,18.5,18.5,55.5,14,3.8,-0.17,2.7,136.4,10,273.1,1045.1,3
9,Stoch Kamil,POL,25 MAY 1987,KS Eve-nement Zakopane,135.0,78.0,89.9,18.0,18.5,18.0,18.5,18.5,55.0,15,NULL,-0.03,0.5,133.5,8,134.5,77.1,89.7,18.5,18.5,18.5,18.5,18.5,55.5,14,3.8,-0.18,2.8,139.2,8,272.7,1086.1,2
10,Hayboeck Michael,AUT,5 MAR 1991,UVB Hinzenbach-Oberoesterreich,128.5,66.3,90.4,17.5,16.5,16.5,16.5,16.5,49.5,15,NULL,-0.60,9.4,125.2,14,140.0,87.0,90.6,18.5,19.0,19.0,18.0,18.5,56.0,15,NULL,-0.10,1.6,144.6,4,269.8,1103.7,1
