RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,127.0,72.6,87.1,18.5,18.0,18.5,18.5,18.0,55.0,07,8.6,-0.08,1.2,137.4,1,121.5,62.7,87.6,18.0,18.0,18.0,18.0,18.0,54.0,08,4.3,-0.46,6.8,127.8,4,265.2,958.7,2
2,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,123.0,65.4,87.5,18.5,18.5,18.0,18.5,18.5,55.5,09,NULL,-0.25,3.7,124.6,6,133.0,83.4,87.6,19.0,19.0,19.0,19.0,19.0,57.0,09,NULL,0.33,-3.3,137.1,1,261.7,956.9,3
3,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,127.0,72.6,87.0,18.5,18.5,18.5,19.0,19.0,56.0,08,4.3,0.24,-2.4,130.5,2,121.5,62.7,87.3,18.5,18.5,18.5,18.5,18.5,55.5,08,4.3,-0.39,5.8,128.3,3,258.8,944.1,4
4,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,129.5,77.1,87.7,18.0,18.5,18.0,18.5,17.5,54.5,09,NULL,0.55,-5.4,126.2,5,125.0,69.0,87.5,18.5,19.0,18.5,19.0,18.5,56.0,08,4.3,0.05,-0.5,128.8,2,255.0,962.1,1
5,Stoch Kamil,POL,25 MAY 1987,KS Eve-nement Zakopane,127.0,72.6,87.1,18.5,18.5,18.0,18.5,18.5,55.5,08,4.3,0.44,-4.4,128.0,3,121.0,61.8,87.1,18.5,18.5,18.0,18.5,18.0,55.0,08,4.3,-0.01,0.1,121.2,6,249.2,958.7,2
6,Lindvik Marius,NOR,27 JUN 1998,Raelingen Skiklubb,128.0,74.4,86.9,18.5,18.5,18.5,19.0,18.0,55.5,08,4.3,0.64,-6.3,127.9,4,121.0,61.8,86.7,17.5,18.0,17.5,17.5,18.0,53.0,08,4.3,0.08,-0.8,118.3,7,246.2,956.9,3
7,Hayboeck Michael,AUT,5 MAR 1991,UVB Hinzenbach-Oberoesterreich,128.0,74.4,87.9,18.0,18.0,18.0,18.0,18.0,54.0,09,NULL,0.59,-5.8,122.6,8,122.0,63.6,87.9,17.0,17.5,17.5,17.0,17.5,52.0,09,NULL,-0.06,0.9,116.5,9,239.1,962.1,1
8,Tschofenig Daniel,AUT,28 MAR 2002,SV Achomitz-Zahomc,117.0,54.6,87.2,17.5,17.5,17.0,17.5,18.0,52.5,09,NULL,-0.37,5.5,112.6,15,120.5,60.9,87.7,18.0,18.0,18.0,18.0,18.5,54.0,09,NULL,-0.46,6.8,121.7,5,234.3,962.1,1
9,Hoerl Jan,AUT,16 OCT 1998,SC Bischofshofen,122.5,64.5,87.5,17.0,17.0,17.0,16.5,16.5,50.5,09,NULL,-0.42,6.2,121.2,9,119.0,58.2,87.5,17.5,17.5,17.5,17.5,17.5,52.5,09,NULL,-0.12,1.8,112.5,13,233.7,962.1,1
10,Zyla Piotr,POL,16 JAN 1987,WSS Wisla,120.5,60.9,87.5,17.5,17.5,17.0,17.5,17.5,52.5,09,NULL,-0.11,1.6,115.0,13,119.0,58.2,88.1,18.0,18.0,18.0,17.5,18.0,54.0,09,NULL,-0.29,4.3,116.5,9,231.5,958.7,2
