RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,139.5,86.1,89.4,19.0,19.5,19.0,19.0,18.5,57.0,10,4.8,-0.57,9.2,157.1,1,143.5,93.3,NULL,19.0,19.5,19.0,19.0,19.0,57.0,09/10,2.4,-0.22,3.6,156.3,1,313.4,1131.3,3
2,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,140.5,87.9,89.9,19.0,18.5,19.0,19.0,19.0,57.0,10,4.8,-0.39,6.3,156.0,2,139.0,85.2,90.2,19.5,19.5,19.0,19.0,19.5,58.0,10,NULL,-0.39,6.3,149.5,3,305.5,1157.1,2
3,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,135.5,78.9,90.0,19.0,19.5,18.5,19.0,19.0,57.0,10,4.8,-0.71,11.5,152.2,3,140.0,87.0,90.0,19.0,19.5,19.0,19.0,18.5,57.0,10,NULL,-0.46,7.5,151.5,2,303.7,1118.1,4
4,Hayboeck Michael,AUT,5 MAR 1991,UVB Hinzenbach-Oberoesterreich,138.5,84.3,90.1,19.0,19.0,19.0,19.0,19.0,57.0,11,2.4,-0.50,8.1,151.8,5,137.0,81.6,89.7,19.0,18.5,18.5,18.5,18.5,55.5,10,NULL,-0.54,8.7,145.8,5,297.6,1157.8,1
5,Hoerl Jan,AUT,16 OCT 1998,SC Bischofshofen,135.5,78.9,89.8,18.5,19.0,18.5,18.5,19.0,56.0,12,NULL,-0.58,9.4,144.3,7,140.5,87.9,89.2,19.0,19.0,19.0,19.0,18.5,57.0,10,NULL,-0.18,2.9,147.8,4,292.1,1157.8,1
6,Stoch Kamil,POL,25 MAY 1987,KS Eve-nement Zakopane,138.0,83.4,89.6,19.5,19.5,19.0,19.5,19.0,58.0,11,2.4,-0.31,5.0,148.8,6,134.5,77.1,89.5,19.0,18.5,19.0,19.0,19.0,57.0,10,NULL,-0.43,7.0,141.1,10,289.9,1118.1,4
7,Prevc Peter,SLO,20 SEP 1992,SK Triglav Kranj,134.5,77.1,90.5,19.0,19.0,18.5,19.0,19.0,57.0,12,NULL,-0.61,9.9,144.0,8,139.5,86.1,89.7,19.0,19.0,19.0,19.0,19.0,57.0,10,NULL,-0.09,1.5,144.6,6,288.6,1157.1,2
8,Fettner Manuel,AUT,17 JUN 1985,SV Innsbruck-Bergisel-Tirol,134.5,77.1,90.1,18.5,18.5,18.5,18.5,18.0,55.5,12,NULL,-0.70,11.3,143.9,9,139.0,85.2,89.4,19.0,18.5,18.5,18.5,18.0,55.5,10,NULL,-0.06,1.0,141.7,9,285.6,1157.8,1
9,Zajc Timi,SLO,26 APR 2000,SSK Ljubno BTC,135.5,78.9,90.1,18.5,18.0,18.5,18.5,18.5,55.5,12,NULL,-0.55,8.9,143.3,10,137.0,81.6,89.2,19.0,18.5,19.0,18.5,19.0,56.5,10,NULL,-0.24,3.9,142.0,8,285.3,1157.1,2
10,Aigner Clemens,AUT,2 FEB 1993,SV Innsbruck-Bergisel-Tirol,136.5,80.7,90.2,18.5,18.5,18.0,18.5,18.5,55.5,12,NULL,-0.22,3.6,139.8,15,139.5,86.1,89.8,19.0,19.5,19.0,18.5,19.5,57.5,10,NULL,0.08,-0.9,142.7,7,282.5,1157.8,1
