RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,129.0,67.2,91.3,18.0,18.0,18.0,18.5,18.0,54.0,16,NULL,-0.77,12.5,133.7,3,141.0,88.8,90.9,19.0,19.0,19.0,19.0,19.0,57.0,15,4.8,-0.21,3.4,154.0,1,287.7,1008.6,3
2,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,137.5,82.5,91.5,19.0,19.0,19.0,19.5,19.0,57.0,16,NULL,-0.62,10.0,149.5,1,124.0,58.2,90.9,18.0,18.0,18.0,18.0,18.0,54.0,15,4.8,-1.24,20.1,137.1,6,286.6,1001.0,5
3,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,134.0,76.2,91.2,18.5,19.0,19.0,19.0,18.5,56.5,16,NULL,0.09,-1.0,131.7,5,145.5,96.9,91.2,19.0,19.5,19.5,19.5,19.5,58.5,16,NULL,0.80,-8.6,146.8,3,278.5,1067.0,1
4,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,126.0,61.8,91.1,17.5,18.0,18.0,18.0,18.0,54.0,16,NULL,-0.64,10.4,126.2,10,136.5,80.7,91.4,19.0,19.0,19.0,19.0,19.0,57.0,16,NULL,-0.69,11.2,148.9,2,275.1,1020.3,2
5,Hoerl Jan,AUT,16 OCT 1998,SC Bischofshofen,139.0,85.2,91.1,18.5,18.5,19.0,19.0,19.0,56.5,16,NULL,0.08,-0.9,140.8,2,126.0,61.8,90.8,18.0,18.0,18.0,18.0,18.0,54.0,15,4.8,-0.63,10.2,130.8,11,271.6,1067.0,1
6,Eisenbichler Markus,GER,3 APR 1991,TSV Siegsdorf,130.5,69.9,90.6,17.5,17.5,18.0,17.5,17.5,52.5,16,NULL,-0.04,0.6,123.0,13,132.0,72.6,91.6,18.0,18.0,18.0,18.0,18.0,54.0,16,NULL,-0.95,15.4,142.0,4,265.0,1007.5,4
7,Stoch Kamil,POL,25 MAY 1987,KS Eve-nement Zakopane,126.5,62.7,91.3,17.5,17.5,18.0,18.0,17.5,53.0,16,NULL,-0.97,15.7,131.4,6,124.0,58.2,91.3,18.0,18.0,18.0,18.0,18.0,54.0,16,NULL,-1.11,18.0,130.2,12,261.6,1001.0,5
8,Lindvik Marius,NOR,27 JUN 1998,Raelingen Skiklubb,128.0,65.4,91.0,18.0,18.0,18.0,18.5,18.0,54.0,16,NULL,-0.88,14.3,133.7,3,121.5,53.7,90.6,18.0,17.5,17.5,18.0,18.0,53.5,15,4.8,-0.91,14.7,126.7,15,260.4,1008.6,3
9,Tschofenig Daniel,AUT,28 MAR 2002,SV Achomitz-Zahomc,126.5,62.7,91.2,18.0,18.0,18.0,18.0,17.5,54.0,16,NULL,-0.19,3.1,119.8,17,129.0,67.2,91.5,18.0,18.0,18.5,18.5,18.5,55.0,16,NULL,-1.03,16.7,138.9,5,258.7,1067.0,1
10,Aigner Clemens,AUT,2 FEB 1993,SV Innsbruck-Bergisel-Tirol,127.5,64.5,91.6,18.0,18.0,18.0,18.0,18.0,54.0,16,NULL,-0.45,7.3,125.8,11,134.0,76.2,91.5,18.5,18.5,19.0,18.5,19.0,56.0,16,NULL,-0.01,0.2,132.4,9,258.2,1067.0,1
11,Wellinger Andreas,GER,28 AUG 1995,Sc Ruhpolding,133.0,74.4,91.2,18.5,18.5,18.5,18.5,18.5,55.5,16,NULL,0.07,-0.8,129.1,7,129.0,67.2,91.6,17.5,17.5,18.0,17.5,16.5,52.5,16,NULL,-0.53,8.6,128.3,13,257.4,1007.5,4
12,Hayboeck Michael,AUT,5 MAR 1991,UVB Hinzenbach-Oberoesterreich,124.5,59.1,91.4,17.0,17.0,17.5,17.5,16.5,51.5,16,NULL,-0.77,12.5,123.1,12,132.0,72.6,91.4,17.5,17.0,17.5,17.0,17.0,51.5,16,NULL,-0.54,8.7,132.8,8,255.9,1067.0,1
13,Kos Lovro,SLO,23 JUL 1999,SSK Ilirija,129.5,68.1,91.0,17.5,18.5,18.5,18.0,18.0,54.5,16,NULL,-0.30,4.9,127.5,9,128.0,65.4,91.3,17.0,18.0,18.0,18.0,17.5,53.5,16,NULL,-0.58,9.4,128.3,13,255.8,1020.3,2
14,Geiger Karl,GER,11 FEB 1993,SC 1906 Oberstdorf,121.0,52.8,91.4,17.5,17.5,17.5,17.5,17.0,52.5,16,NULL,-0.73,11.8,117.1,24,133.5,75.3,90.9,18.5,18.5,18.5,18.5,19.0,55.5,16,NULL,-0.07,1.1,131.9,10,249.0,1007.5,4
15,Fettner Manuel,AUT,17 JUN 1985,SV Innsbruck-Bergisel-Tirol,112.0,36.6,91.5,17.0,16.5,16.5,17.0,16.5,50.0,16,NULL,-1.55,25.1,111.7,28,133.0,74.4,91.2,18.5,18.5,18.0,18.5,18.5,55.5,16,NULL,-0.35,5.7,135.6,7,247.3,1067.0,1
16,Jelar Ziga,SLO,22 OCT 1997,Sk Triglav kranj,133.0,74.4,91.1,18.5,18.5,18.5,18.0,18.5,55.5,16,NULL,0.21,-2.3,127.6,8,120.5,51.9,91.5,17.0,17.0,16.5,17.5,16.5,50.5,16,NULL,-0.95,15.4,117.8,19,245.4,1020.3,2
17,Prevc Peter,SLO,20 SEP 1992,SK Triglav Kranj,120.5,51.9,91.1,17.5,17.5,17.5,17.5,17.5,52.5,16,NULL,-0.93,15.1,119.5,18,130.5,69.9,91.2,18.0,18.0,18.0,18.0,18.0,54.0,16,NULL,-0.04,0.6,124.5,17,244.0,1020.3,2
18,Forfang Johann Andre,NOR,4 JUL 1995,Tromsoe Skiklub,124.5,59.1,90.4,18.0,17.5,18.0,17.5,17.0,53.0,16,NULL,-0.20,3.2,115.3,26,129.0,67.2,90.9,17.5,18.0,18.0,18.0,17.5,53.5,16,NULL,-0.35,5.7,126.4,16,241.7,1008.6,3
19,Leyhe Stephan,GER,5 JAN 1992,SC Willingen,127.0,63.6,90.5,18.0,18.0,18.0,18.0,18.0,54.0,16,NULL,0.04,-0.4,117.2,23,123.0,56.4,91.4,17.5,17.5,17.5,17.5,17.0,52.5,16,NULL,-0.62,10.0,118.9,18,236.1,1007.5,4
20,Deschwanden Gregor,SUI,27 FEB 1991,Horw,118.0,47.4,91.7,17.0,17.0,17.0,17.5,17.5,51.5,16,NULL,-1.36,22.0,120.9,16,123.0,56.4,91.1,17.5,17.5,17.5,17.5,17.5,52.5,16,NULL,-0.35,5.7,114.6,20,235.5,235.5,11
21,Habdas Jan,POL,2 DEC 2003,Lks Klimczok bystra,129.0,67.2,91.5,18.0,18.0,18.0,18.0,18.0,54.0,16,NULL,-0.01,0.2,121.4,14,123.0,56.4,91.6,18.0,17.5,17.5,17.5,17.5,52.5,16,NULL,-0.05,0.8,109.7,24,231.1,1001.0,5
