RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Kobayashi Ryoyu,JPN,8 NOV 1996,Tsuchiya Home Ski Team,135.0,81.6,88.3,19.0,18.0,19.0,18.5,19.0,56.5,12,NULL,0.11,-1.2,136.9,2,130.0,72.6,87.4,19.0,19.0,19.0,19.0,18.5,57.0,09,NULL,-0.31,5.0,134.6,1,271.5,888.9,6
2,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,137.0,85.2,88.8,19.0,19.0,19.5,19.5,19.0,57.5,12,NULL,0.18,-1.9,140.8,1,125.5,64.5,87.8,18.5,18.5,18.0,18.0,18.0,54.5,09,NULL,-0.28,4.5,123.5,4,264.3,968.4,3
3,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,130.5,73.5,87.6,19.5,18.5,19.0,18.5,19.0,56.5,10/12,7.4,0.11,-1.2,136.2,3,126.0,65.4,87.4,19.0,18.0,18.0,18.5,18.0,54.5,09,NULL,-0.40,6.5,126.4,3,262.6,979.9,1
4,Stoch Kamil,POL,25 MAY 1987,KS Eve-nement Zakopane,133.0,78.0,88.3,19.0,18.5,19.0,18.5,19.0,56.5,12,NULL,-0.03,0.5,135.0,4,123.5,60.9,87.2,19.0,18.5,17.5,18.5,18.0,55.0,09,NULL,-0.13,2.1,118.0,11,253.0,968.4,3
5,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,130.0,72.6,88.4,18.5,18.5,18.5,18.5,19.0,55.5,12,NULL,0.25,-2.7,125.4,10,132.0,76.2,87.2,18.5,18.5,18.5,19.0,19.0,56.0,09,NULL,0.46,-5.0,127.2,2,252.6,975.2,2
6,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,130.5,73.5,88.2,19.0,18.5,19.0,19.0,19.5,57.0,12,NULL,0.15,-1.6,128.9,7,127.0,67.2,87.1,19.0,18.5,18.0,18.5,18.5,55.5,09,NULL,0.34,-3.7,119.0,8,247.9,965.7,4
7,Zajc Timi,SLO,26 APR 2000,SSK Ljubno BTC,128.5,69.9,88.0,18.0,18.0,18.0,18.0,18.5,54.0,12,NULL,0.13,-1.4,122.5,13,132.0,76.2,86.8,18.5,19.0,18.5,19.0,19.0,56.5,09,NULL,0.86,-9.3,123.4,5,245.9,965.7,4
8,Wellinger Andreas,GER,28 AUG 1995,Sc Ruhpolding,133.5,78.9,88.9,19.0,18.5,19.0,19.0,19.0,57.0,12,NULL,0.09,-1.0,134.9,5,122.0,58.2,87.8,17.5,18.0,17.0,17.5,17.0,52.0,09,NULL,-0.01,0.2,110.4,22,245.3,931.4,5
9,Tande Daniel Andre,NOR,24 JAN 1994,Kongsberg If,127.0,67.2,88.5,18.0,17.5,18.0,18.5,18.0,54.0,12,NULL,-0.29,4.7,125.9,9,130.0,72.6,87.1,18.5,18.0,18.5,18.0,18.5,55.0,09,NULL,0.84,-9.1,118.5,10,244.4,979.9,1
10,Deschwanden Gregor,SUI,27 FEB 1991,Horw,124.5,62.7,88.6,18.5,17.0,18.0,18.0,18.0,54.0,12,NULL,-0.25,4.0,120.7,16,132.5,77.1,87.3,18.5,18.0,18.5,18.5,18.5,55.5,09,NULL,0.85,-9.2,123.4,5,244.1,429.7,8
