RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,234.5,161.4,98.9,19.0,19.0,19.5,19.5,19.5,58.0,13,16.7,0.30,-4.3,231.8,1,235.0,162.0,99.5,19.0,19.5,19.0,19.0,19.0,57.0,14,5.7,0.07,-1.0,223.7,1,455.5,1678.2,1
2,Zajc Timi,SLO,26 APR 2000,SSK Ljubno BTC,234.0,160.8,98.3,19.0,19.0,19.0,18.5,19.0,57.0,13/14,16.7,0.31,-4.5,230.0,3,230.5,156.6,98.5,19.0,19.0,19.0,18.5,18.5,56.5,14,5.7,-0.12,2.6,221.4,2,451.4,1648.8,2
3,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,233.0,159.6,98.9,19.0,19.5,19.0,19.5,19.5,58.0,13,16.7,0.23,-3.3,231.0,2,229.0,154.8,99.5,19.0,18.5,18.5,18.5,18.5,55.5,14,5.7,0.04,-0.6,215.4,3,446.4,1628.8,3
4,Wellinger Andreas,GER,28 AUG 1995,Sc Ruhpolding,230.0,156.0,100.0,18.5,18.5,19.0,18.5,19.0,56.0,14,11.2,0.25,-3.6,219.6,4,230.0,156.0,100.4,19.0,19.0,19.0,19.0,19.0,57.0,15,NULL,0.02,-0.3,212.7,4,432.3,1508.0,5
5,Hoerl Jan,AUT,16 OCT 1998,SC Bischofshofen,220.0,144.0,98.3,18.5,18.5,18.5,18.5,18.5,55.5,13,16.7,0.21,-3.0,213.2,7,222.0,146.4,99.1,19.0,19.0,18.5,18.5,18.5,56.0,15,NULL,-0.02,0.4,202.8,7,416.0,1628.8,3
6,Zyla Piotr,POL,16 JAN 1987,WSS Wisla,226.5,151.8,98.7,17.5,18.0,18.0,17.5,17.0,53.0,13,16.7,0.34,-4.9,216.6,5,220.0,144.0,99.6,17.5,17.0,17.5,17.5,17.5,52.5,15,NULL,-0.11,2.4,198.9,12,415.5,1547.4,4
7,Fettner Manuel,AUT,17 JUN 1985,SV Innsbruck-Bergisel-Tirol,235.0,162.0,99.8,18.5,18.5,18.0,19.0,19.0,56.0,16,NULL,0.26,-3.7,214.3,6,221.5,145.8,99.4,18.5,18.5,18.0,18.0,18.5,55.0,15,NULL,0.16,-2.3,198.5,14,412.8,1628.8,3
8,Forfang Johann Andre,NOR,4 JUL 1995,Tromsoe Skiklub,223.0,147.6,98.9,18.5,18.5,18.5,18.5,18.5,55.5,15,5.5,0.10,-1.4,207.2,9,224.0,148.8,99.1,18.5,18.0,18.5,18.5,18.5,55.5,15,NULL,0.04,-0.6,203.7,5,410.9,1678.2,1
9,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,225.0,150.0,98.9,18.5,19.0,19.0,19.0,19.0,57.0,15,5.5,0.26,-3.7,208.8,8,221.0,145.2,99.1,18.5,18.5,18.5,18.5,18.5,55.5,15,NULL,0.04,-0.6,200.1,10,408.9,1648.8,2
10,Lindvik Marius,NOR,27 JUN 1998,Raelingen Skiklubb,222.5,147.0,99.3,18.0,18.0,18.0,18.0,18.0,54.0,15,5.5,0.24,-3.5,203.0,13,224.0,148.8,99.3,18.5,18.5,18.5,18.0,18.5,55.5,15,NULL,0.08,-1.2,203.1,6,406.1,1678.2,1
