RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,147.5,91.5,87.9,19.0,19.0,18.5,18.5,19.0,56.5,10,NULL,0.65,-7.6,140.4,1,142.0,81.6,88.1,19.0,19.0,19.0,19.0,19.0,57.0,11,NULL,0.51,-6.0,132.6,2,273.0,899.4,1
2,Kobayashi Ryoyu,JPN,8 NOV 1996,Tsuchiya Home Ski Team,134.5,68.1,88.1,18.0,18.0,18.5,18.0,18.5,54.5,10,NULL,0.73,-8.5,114.1,7,145.5,87.9,88.2,18.5,19.0,19.0,18.5,19.0,56.5,11,NULL,0.53,-6.2,138.2,1,252.3,713.2,6
3,Tande Daniel Andre,NOR,24 JAN 1994,Kongsberg If,141.5,80.7,88.2,18.5,18.0,18.5,18.0,18.5,55.0,10,NULL,0.50,-5.9,129.8,2,137.0,72.6,88.2,18.0,18.0,18.0,18.5,18.5,54.5,11,NULL,0.66,-7.7,119.4,5,249.2,899.4,1
4,Fettner Manuel,AUT,17 JUN 1985,SV Innsbruck-Bergisel-Tirol,141.0,79.8,88.2,18.5,18.5,18.5,18.0,19.0,55.5,10,NULL,0.69,-8.1,127.2,3,139.0,76.2,88.5,18.0,18.5,18.5,18.0,18.0,54.5,11,NULL,0.90,-10.5,120.2,3,247.4,898.9,2
5,Jelar Ziga,SLO,22 OCT 1997,Sk Triglav kranj,134.5,68.1,88.2,18.5,18.0,18.5,18.5,18.5,55.5,10,NULL,0.52,-6.1,117.5,4,135.5,69.9,88.2,18.5,18.5,18.5,18.5,18.5,55.5,11,NULL,0.56,-6.6,118.8,6,236.3,886.1,3
6,Prevc Domen,SLO,4 JUN 1999,Sk Triglav kranj,132.5,64.5,87.7,18.0,18.0,18.0,18.0,18.0,54.0,10,NULL,0.24,-2.8,115.7,5,135.0,69.0,87.9,18.0,18.5,18.0,18.0,18.5,54.5,11,NULL,0.58,-6.8,116.7,8,232.4,886.1,3
7,Zyla Piotr,POL,16 JAN 1987,WSS Wisla,135.5,69.9,88.1,18.0,18.0,18.0,18.0,18.5,54.0,10,NULL,1.12,-13.1,110.8,8,140.0,78.0,88.3,18.5,18.5,18.0,18.5,18.5,55.5,11,NULL,1.20,-14.0,119.5,4,230.3,741.6,5
8,Hayboeck Michael,AUT,5 MAR 1991,UVB Hinzenbach-Oberoesterreich,134.0,67.2,88.3,18.0,18.0,18.0,18.0,18.5,54.0,10,NULL,0.57,-6.7,114.5,6,128.5,57.3,88.4,17.5,18.0,18.0,18.0,18.0,54.0,11,NULL,0.41,-4.8,106.5,15,221.0,898.9,2
9,Eisenbichler Markus,GER,3 APR 1991,TSV Siegsdorf,132.0,63.6,88.1,17.0,18.0,17.5,17.5,18.0,53.0,10,NULL,0.77,-9.0,107.6,13,135.0,69.0,87.9,17.5,18.0,18.0,18.0,18.0,54.0,11,NULL,0.85,-9.9,113.1,10,220.7,850.8,4
10,Zajc Timi,SLO,26 APR 2000,SSK Ljubno BTC,129.5,59.1,87.4,18.0,18.0,18.0,18.0,18.0,54.0,10,NULL,0.77,-9.0,104.1,17,134.5,68.1,87.1,18.5,18.0,18.5,18.0,18.5,55.0,11,NULL,0.61,-7.1,116.0,9,220.1,886.1,3
11,Wellinger Andreas,GER,28 AUG 1995,Sc Ruhpolding,132.0,63.6,88.2,17.5,17.5,18.0,17.5,17.0,52.5,10,NULL,0.47,-5.5,110.6,9,131.0,61.8,88.2,18.0,18.0,18.0,18.0,18.5,54.0,11,NULL,0.73,-8.5,107.3,13,217.9,850.8,4
12,Leyhe Stephan,GER,5 JAN 1992,SC Willingen,133.5,66.3,88.0,18.0,18.0,18.5,18.0,18.0,54.0,10,NULL,0.98,-11.5,108.8,10,133.0,65.4,88.5,18.0,18.0,18.0,18.0,18.5,54.0,11,NULL,0.90,-10.5,108.9,12,217.7,850.8,4
13,Kraft Stefan,AUT,13 MAY 1993,SV Schwarzach-Salzburg,125.5,51.9,87.3,17.5,18.0,17.5,17.5,18.0,53.0,10,NULL,0.41,-4.8,100.1,20,137.0,72.6,87.5,19.0,18.5,18.5,18.0,18.5,55.5,11,NULL,0.97,-11.3,116.8,7,216.9,898.9,2
14,Tschofenig Daniel,AUT,28 MAR 2002,SV Achomitz-Zahomc,129.0,58.2,87.5,17.5,17.5,18.0,17.5,18.0,53.0,10,NULL,0.81,-9.5,101.7,19,136.0,70.8,87.6,18.0,18.0,18.0,17.5,18.0,54.0,11,NULL,1.10,-12.9,111.9,11,213.6,898.9,2
15,Hoerl Jan,AUT,16 OCT 1998,SC Bischofshofen,132.0,63.6,87.5,17.0,18.0,18.0,18.0,17.5,53.5,10,NULL,0.86,-10.1,107.0,15,129.5,59.1,87.2,18.0,17.5,17.5,18.0,17.0,53.0,11,NULL,0.62,-7.3,104.8,17,211.8,898.9,2
16,Nakamura Naoki,JPN,19 SEP 1996,Flying Laboratory SC,135.0,69.0,87.5,18.5,18.5,18.0,18.0,18.5,55.0,10,NULL,1.30,-15.2,108.8,10,126.0,52.8,87.9,17.5,18.0,17.5,17.5,17.5,52.5,11,NULL,0.37,-4.3,101.0,21,209.8,713.2,6
17,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,127.0,54.6,88.1,17.5,18.0,18.0,17.0,18.0,53.5,10,NULL,0.75,-8.8,99.3,21,128.0,56.4,88.0,18.0,18.0,18.0,17.5,18.0,54.0,11,NULL,0.32,-3.7,106.7,14,206.0,741.6,5
18,Lanisek Anze,SLO,20 APR 1996,Ssk Menges,130.0,60.0,87.6,18.0,18.0,18.0,18.0,18.5,54.0,10,NULL,0.59,-6.9,107.1,14,121.0,43.8,87.0,17.5,16.5,16.5,17.0,17.0,50.5,11,NULL,0.35,-4.1,90.2,24,197.3,886.1,3
19,Kos Lovro,SLO,23 JUL 1999,SSK Ilirija,132.0,63.6,87.6,18.0,18.0,18.0,17.5,18.0,54.0,10,NULL,0.92,-10.8,106.8,16,121.5,44.7,86.8,17.5,18.0,17.0,17.5,17.5,52.5,11,NULL,0.75,-8.8,88.4,25,195.2,886.1,3
20,Prevc Peter,SLO,20 SEP 1992,SK Triglav Kranj,128.0,56.4,87.7,17.5,17.5,17.5,17.5,18.0,52.5,10,NULL,0.42,-4.9,104.0,18,120.0,42.0,87.3,17.0,17.5,17.0,17.0,17.5,51.5,11,NULL,0.24,-2.8,90.7,23,194.7,886.1,3
21,Geiger Karl,GER,11 FEB 1993,SC 1906 Oberstdorf,120.5,42.9,87.7,17.0,17.5,17.5,17.0,17.5,52.0,10,NULL,0.15,-1.8,93.1,23,126.5,53.7,87.5,18.0,18.0,17.5,17.5,17.5,53.0,11,NULL,0.45,-5.3,101.4,20,194.5,850.8,4
22,Forfang Johann Andre,NOR,4 JUL 1995,Tromsoe Skiklub,125.5,51.9,87.4,17.5,17.5,17.5,17.5,18.0,52.5,10,NULL,0.91,-10.6,93.8,22,126.5,53.7,87.4,17.5,17.5,17.5,17.0,17.5,52.5,11,NULL,0.60,-7.0,99.2,22,193.0,899.4,1
23,Schmid Constantin,GER,27 NOV 1999,Wsv Oberaudorf,122.0,45.6,88.1,17.0,17.0,17.5,17.0,17.0,51.0,10,NULL,0.96,-11.2,85.4,27,127.0,54.6,88.7,17.5,17.5,17.5,17.5,17.5,52.5,11,NULL,0.27,-3.2,103.9,18,189.3,850.8,4
24,Sundal Kristoffer Eriksen,NOR,7 FEB 2001,IL Koll,117.0,36.6,87.1,16.5,16.5,16.5,16.0,17.0,49.5,10,NULL,0.62,-7.3,78.8,29,132.0,63.6,88.1,17.5,17.5,18.0,17.5,18.0,53.0,11,NULL,0.96,-11.2,105.4,16,184.2,899.4,1
25,Zniszczol Aleksander,POL,8 MAR 1994,WSS Wisla,119.0,40.2,87.8,17.0,16.5,17.5,17.0,17.0,51.0,10,NULL,0.95,-11.1,80.1,28,126.0,52.8,88.5,17.5,17.0,17.5,17.0,17.5,52.0,11,NULL,0.22,-2.6,102.2,19,182.3,741.6,5
