RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Wellinger Andreas,GER,28 AUG 1995,Sc Ruhpolding,129.0,85.2,88.9,17.5,18.5,18.5,18.5,18.0,55.0,21,4.3,1.06,-9.0,135.5,5,125.5,78.9,89.5,19.0,19.0,19.0,18.5,19.0,57.0,23,-4.4,0.30,-2.5,129.0,4,264.5,992.2,1
2,Kobayashi Ryoyu,JPN,8 NOV 1996,Tsuchiya Home Ski Team,136.0,97.8,87.8,16.5,17.5,16.5,16.5,16.0,49.5,21,4.3,0.89,-7.5,144.1,1,114.0,58.2,88.7,17.5,17.5,17.0,18.0,17.5,52.5,23,-4.4,-0.44,5.6,111.9,16,256.0,906.7,6
3,Tschofenig Daniel,AUT,28 MAR 2002,SV Achomitz-Zahomc,129.0,85.2,88.2,19.0,19.0,19.0,19.0,18.5,57.0,22,NULL,0.75,-6.3,135.9,4,120.0,69.0,88.4,18.0,18.0,18.5,18.0,18.0,54.0,23,-4.4,-0.07,0.9,119.5,8,255.4,958.6,3
4,Zajc Timi,SLO,26 APR 2000,SSK Ljubno BTC,130.0,87.0,88.0,19.5,19.0,19.0,18.5,19.0,57.0,22,NULL,0.86,-7.3,136.7,3,120.0,69.0,88.1,18.5,18.0,18.5,18.5,18.5,55.5,23,-4.4,0.26,-2.2,117.9,12,254.6,977.7,2
5,Kubacki Dawid,POL,12 MAR 1990,TS Wisla Zakopane,119.5,68.1,87.6,17.5,18.0,17.5,18.0,17.5,53.0,20,8.6,0.70,-5.9,123.8,10,126.0,79.8,89.0,19.0,18.5,18.5,18.5,19.0,56.0,23,-4.4,0.27,-2.3,129.1,3,252.9,917.4,5
6,Prevc Domen,SLO,4 JUN 1999,Sk Triglav kranj,122.0,72.6,88.2,18.5,18.5,18.0,18.5,18.0,55.0,22,NULL,0.83,-7.0,120.6,12,129.5,86.1,NULL,19.0,18.5,18.5,19.0,19.0,56.5,23,-4.4,0.80,-6.8,131.4,1,252.0,977.7,2
7,Granerud Halvor Egner,NOR,29 MAY 1996,Asker Skiklubb,124.5,77.1,87.1,18.5,18.5,18.5,18.5,18.5,55.5,20,8.6,0.73,-6.2,135.0,6,117.0,63.6,88.6,18.5,17.5,18.0,18.5,18.0,54.5,23,-4.4,-0.18,2.3,116.0,13,251.0,934.6,4
8,Geiger Karl,GER,11 FEB 1993,SC 1906 Oberstdorf,127.5,82.5,88.7,18.5,19.0,18.5,18.5,18.5,55.5,22,NULL,0.84,-7.1,130.9,7,120.5,69.9,89.3,18.5,18.0,18.0,18.0,18.5,54.5,23,-4.4,0.06,-0.5,119.5,8,250.4,992.2,1
9,Hayboeck Michael,AUT,5 MAR 1991,UVB Hinzenbach-Oberoesterreich,129.0,85.2,88.9,18.5,19.0,18.5,18.5,18.0,55.5,22,NULL,0.43,-3.6,137.1,2,117.0,63.6,89.3,18.0,17.5,17.5,18.5,17.5,53.0,23,-4.4,0.05,-0.4,111.8,17,248.9,958.6,3
10,Eisenbichler Markus,GER,3 APR 1991,TSV Siegsdorf,117.5,64.5,88.1,17.0,17.5,17.5,17.5,17.5,52.5,22,NULL,0.53,-4.5,112.5,21,130.0,87.0,89.3,18.5,19.0,18.5,18.5,18.5,55.5,24,-8.8,0.34,-2.9,130.8,2,243.3,992.2,1
