RANKING,NAME,NATIONALITY,DOB,CLUB,DISTANCE JUMP 1,DISTANCE POINTS JUMP 1,SPEED JUMP 1,JUDGE MARKS A JUMP 1,JUDGE MARKS B JUMP 1,JUDGE MARKS C JUMP 1,JUDGE MARKS D JUMP 1,JUDGE MARKS E JUMP 1,JUDGE TOTAL POINTS JUMP 1,GATE JUMP 1,GATE COMPENSATION JUMP 1,WIND JUMP 1,WIND COMPENSATION JUMP 1,TOTAL POINTS JUMP 1,RANKING JUMP 1,DISTANCE JUMP 2,DISTANCE POINTS JUMP 2,SPEED JUMP 2,JUDGE MARKS A JUMP 2,JUDGE MARKS B JUMP 2,JUDGE MARKS C JUMP 2,JUDGE MARKS D JUMP 2,JUDGE MARKS E JUMP 2,JUDGE TOTAL POINTS JUMP 2,GATE JUMP 2,GATE COMPENSATION JUMP 2,WIND JUMP 2,WIND COMPENSATION JUMP 2,TOTAL POINTS JUMP 2,RANKING JUMP 2,TOTAL POINTS,TEAM POINTS,TEAM RANKING
1,Wellinger Andreas,GER,28 AUG 1995,Sc Ruhpolding,94.0,68.0,84.0,18.0,18.0,18.0,18.0,18.0,54.0,14,NULL,0.67,-5.4,116.6,2,99.0,78.0,84.8,18.5,18.5,18.0,18.5,18.0,55.0,16,NULL,1.15,-9.2,123.8,3,240.4,948.0,1
2,Jelar Ziga,SLO,22 OCT 1997,Sk Triglav kranj,91.5,63.0,83.9,17.5,18.0,16.5,17.5,17.5,52.5,14,NULL,0.44,-3.5,112.0,6,98.5,77.0,84.7,18.5,19.0,17.5,19.0,18.5,56.0,16,NULL,0.60,-4.8,128.2,1,240.2,837.7,4
3,Geiger Karl,GER,11 FEB 1993,SC 1906 Oberstdorf,91.0,62.0,83.8,17.5,17.5,16.5,17.5,17.0,52.0,14,NULL,0.39,-3.1,110.9,7,99.0,78.0,84.6,18.0,18.5,18.0,18.5,18.5,55.0,16,NULL,0.75,-6.0,127.0,2,237.9,948.0,1
4,Eisenbichler Markus,GER,3 APR 1991,TSV Siegsdorf,95.5,71.0,83.6,18.0,18.5,17.0,18.0,18.0,54.0,14,NULL,0.73,-5.8,119.2,1,93.0,66.0,83.5,17.5,18.0,17.0,18.0,17.5,53.0,16,NULL,0.16,-1.3,117.7,6,236.9,948.0,1
5,Raimund Philipp,GER,23 JUN 2000,Sc Oberstdorf,95.0,70.0,84.7,18.0,18.0,17.5,18.0,17.5,53.5,14,NULL,1.11,-8.9,114.6,3,94.0,68.0,85.5,17.5,17.5,17.0,17.5,17.0,52.0,16,NULL,0.23,-1.8,118.2,5,232.8,948.0,1
6,Schmid Constantin,GER,27 NOV 1999,Wsv Oberaudorf,93.0,66.0,83.7,18.0,18.0,17.5,17.5,17.5,53.0,14,NULL,0.83,-6.6,112.4,5,93.0,66.0,84.9,16.0,16.5,16.0,17.5,16.5,49.0,16,NULL,-0.21,2.5,117.5,7,229.9,948.0,1
7,Peter Dominik,SUI,30 MAY 2001,Am Bachtel wald,94.5,69.0,84.0,18.0,18.5,17.0,18.0,18.0,54.0,14,NULL,1.10,-8.8,114.2,4,91.0,62.0,84.6,17.5,18.0,18.0,17.5,17.5,53.0,16,NULL,0.23,-1.8,113.2,12,227.4,439.1,7
8,Aigner Clemens,AUT,2 FEB 1993,SV Innsbruck-Bergisel-Tirol,84.5,49.0,83.6,16.5,16.5,17.0,17.0,16.5,50.0,14,NULL,-0.39,4.7,103.7,14,94.5,69.0,84.5,18.5,18.0,18.0,18.5,18.0,54.5,16,NULL,0.37,-3.0,120.5,4,224.2,872.0,2
9,Insam Alex,ITA,19 DEC 1997,GRUPPO SPORTIVO FIAMME ORO,95.0,70.0,83.1,18.0,17.5,17.5,18.0,17.5,53.0,14,NULL,1.79,-14.3,108.7,8,96.0,72.0,83.9,18.0,18.0,17.5,18.0,18.0,54.0,16,NULL,1.33,-10.6,115.4,8,224.1,412.9,8
10,Aschenwald Philipp,AUT,12 NOV 1995,SC Mayerhofen-Tirol,89.5,59.0,83.8,17.0,17.5,17.0,17.5,17.0,51.5,14,NULL,0.56,-4.5,106.0,11,91.5,63.0,84.7,17.5,17.5,16.5,17.5,17.0,52.0,16,NULL,0.09,-0.7,114.3,11,220.3,872.0,2
10,Schuster Jonas,AUT,25 AUG 2003,SV Innsbruck Bergisel,92.0,64.0,83.0,17.5,17.5,17.5,18.0,17.5,52.5,14,NULL,1.44,-11.5,105.0,13,92.5,65.0,84.6,17.5,18.0,17.0,18.0,17.5,53.0,16,NULL,0.34,-2.7,115.3,9,220.3,872.0,2
12,Pilch Tomasz,POL,20 OCT 2000,WSS Wisla,91.5,63.0,83.2,17.5,18.0,17.0,17.5,17.5,52.5,14,NULL,1.29,-10.3,105.2,12,89.0,58.0,84.4,17.5,17.5,17.0,17.5,17.5,52.5,16,NULL,0.21,-1.7,108.8,18,214.0,839.6,3
13,Leyhe Stephan,GER,5 JAN 1992,SC Willingen,86.0,52.0,83.7,16.5,16.5,16.5,16.5,16.5,49.5,14,NULL,-0.17,2.0,103.5,16,89.0,58.0,84.6,16.5,17.0,17.0,17.0,17.0,51.0,16,NULL,-0.06,0.7,109.7,14,213.2,948.0,1
14,Juroszek Kacper,POL,5 JUN 2001,Wss Wisla,82.5,45.0,83.8,16.0,16.0,17.0,16.5,16.5,49.0,14,NULL,-0.37,4.4,98.4,25,92.5,65.0,85.0,17.5,17.5,17.5,18.0,17.0,52.5,16,NULL,0.38,-3.0,114.5,10,212.9,839.6,3
15,Sundal Kristoffer Eriksen,NOR,7 FEB 2001,IL Koll,90.5,61.0,82.9,17.5,17.5,17.0,17.5,17.0,52.0,14,NULL,0.69,-5.5,107.5,10,89.0,58.0,83.8,17.0,17.0,17.0,17.0,17.5,51.0,16,NULL,0.51,-4.1,104.9,24,212.4,795.6,5
